,date,default_code,name_prod,subcateg_name,st_in,st_out,st_last,order_qty,qty_delivered,selisih,progress_sum,stock-so
1266,2021-12-10,E3032L,EVA Porto 3032L size 36-40 @72,Medium,119.0,126.0,112.0,0.0,0.0,0.0,38.0,74.0
1267,2021-12-10,AA009M-1,Shoe Porto AA 009M All Black size 39-43 @20,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1268,2021-12-10,BA207L,Shoe Porto BA 207L size 36-40 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1269,2021-12-10,JBTS,PortoLady BTS size 36-40 @36,Fast,25.0,10.0,65.0,22.0,0.0,22.0,96.0,-31.0
1270,2021-12-10,BA202B-1,Shoe Porto BA 202B-1 All Black size 31-35 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1271,2021-12-10,EJPAX-B,Jellyshoes PortoLady PAX-B Black ,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1272,2021-12-10,E3030L,EVA Porto 3030L size 36-40 @72,Very Fast,11.0,0.0,17.0,1.0,0.0,1.0,285.0,-268.0
1273,2021-12-10,AA009K-16,Shoe Porto AA 009K Maroon size 26-30 @40,Very Fast,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0
1274,2021-12-10,E1028M-2,EVA Porto 1028M-2 size 40-44 @48,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1275,2021-12-10,BA211L,Shoe Porto BA 211L size 36-40 @40,Very Fast,1.0,2.0,21.0,1.0,0.0,1.0,3.0,18.0
1276,2021-12-10,AA001B-31,Shoe Porto AA 001B Gemblue size 31-35 @40,Very Fast,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
1277,2021-12-10,E1040M,EVA Porto 1040M size 40-44 @48,Slow,0.0,0.0,5.0,0.0,0.0,0.0,40.0,-35.0
1278,2021-12-10,E1020M,EVA Porto 1020M size 39-44 @48,Fast,4.0,2.0,95.0,10.0,0.0,10.0,107.0,-12.0
1279,2021-12-10,AA001B-10,Shoe Porto AA 001B Red size 31-35 @40,Very Fast,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
1280,2021-12-10,BC202L,Shoe Porto BC 202L size 37-40 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281,2021-12-10,BB202L,Shoe Porto BB 202L size 36-40 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1282,2021-12-10,AA001M-00,Shoe Porto AA 001M Black size 39-43 @20,Very Fast,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
1283,2021-12-10,AA009K-35,Shoe Porto AA 009K Navy size 26-30 @40,Very Fast,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
1284,2021-12-10,E1028L,EVA Porto 1028L size 36-40 @48,Slow,2.0,0.0,2.0,0.0,0.0,0.0,32.0,-30.0
1285,2021-12-10,E1015M,EVA Porto 1015M size 39-44 @48,Very Fast,212.0,264.0,483.0,11.0,47.0,-36.0,92.0,391.0
1286,2021-12-10,BC200L,Shoe Porto BC 200L size 37-40 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1287,2021-12-10,E1037K-1,EVA Porto 1037K-1 size 30-35 @72,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1288,2021-12-10,BA209L,Shoe Porto BA 209L size 36-40 @40,Very Fast,10.0,11.0,52.0,1.0,1.0,0.0,44.0,8.0
1289,2021-12-10,AD302B-12,Shoe Porto AD 302B Pink size 31-35 @20,Very Fast,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
1290,2021-12-10,E0610B,EVA Porto 610B size 30-35 @72,Medium,23.0,32.0,17.0,2.0,7.0,-5.0,14.0,3.0
1291,2021-12-10,E0711L,EVA Porto 711L size 36-40 @48,Fast,152.0,258.0,72.0,3.0,43.0,-40.0,43.0,29.0
